epoch,train_total,train_pixel,train_perc,train_edge,train_tv,train_critic,train_cls,val_total,val_pixel,val_perc,val_edge,val_tv,val_critic,val_cls,sec
46,0.04543170783069403,0.04270570312372193,nan,nan,0.0229288701706885,0.0002114835005362057,0.02216345293288495,0.043262733538684095,0.040570279276978816,nan,nan,0.022758584273488897,0.00019708589503639624,0.02194999289502831,583.422357082367
47,0.044348688226518704,0.041615499051135346,nan,nan,0.023128816390335146,0.00020364183162683918,0.021667417530525843,0.04239597694801265,0.03967045011047862,nan,nan,0.023232911762438323,0.00018397404959327295,0.02182201726215058,598.4854037761688
48,0.04400758426081022,0.04126451890360197,nan,nan,0.023211893195418148,0.00020603872783967757,0.02158484818871119,0.04214549966548618,0.039417321597667115,nan,nan,0.023218958001387745,0.00018877379204097547,0.021750210042993882,587.0858285427094
49,0.04371364897920462,0.040969894023485554,nan,nan,0.0232498179526997,0.00020342071162182812,0.02153529568275646,0.04224579546012377,0.03951402186220022,nan,nan,0.023367630807976974,0.00017648425541426005,0.02184986187708809,568.1444742679596
50,0.04351134822625104,0.04076642898749689,nan,nan,0.023291573279773645,0.00020067199506640599,0.02150759848846115,0.04173145419918001,0.0389931990005272,nan,nan,0.023022601478978208,0.0002188329633913542,0.02171521569528666,571.36026263237
51,0.04330189427329891,0.04055658067626964,nan,nan,0.02332894778946071,0.00019763625031866744,0.021478559634869145,0.04155528409357526,0.03880737954750657,nan,nan,0.02312108090049342,0.00021896942665702417,0.021682082344532796,570.6504371166229
52,0.04308786866902251,0.040335434843526426,nan,nan,0.02340731045409479,0.00019710811679141696,0.021458434137669437,0.04122594307715956,0.038473366012208556,nan,nan,0.023505763003700657,0.0001853010372111672,0.021665703315336845,568.9291508197784
53,0.04291866831132695,0.04016010460331416,nan,nan,0.02349573100985502,0.0001944556480968544,0.021454191508660306,0.04104805525735413,0.03832114436418602,nan,nan,0.023152501959549755,0.00019513658787074842,0.021652915968412633,576.5047249794006
54,0.04271951846742225,0.039952057874897154,nan,nan,0.02359129420265907,0.00019396948996264793,0.021437333254776533,0.04077701228915861,0.038002596763697896,nan,nan,0.023609663310803865,0.0001966808187334161,0.021671323442684586,602.9517164230347
55,0.04250785178309836,0.03972976366070909,nan,nan,0.023717914639498093,0.00019210994491630057,0.021419509130254925,0.040858780156428874,0.03808795920524158,nan,nan,0.023213938662880344,0.00023264712408969276,0.021671738181459278,591.8481044769287
56,0.04227671681240656,0.03948248560823262,nan,nan,0.0238828883918413,0.00019184941226996265,0.021410123345954924,0.040277484449018776,0.0375117721207636,nan,nan,0.023707339638157895,0.00017863708107095016,0.021627864114155893,568.9493379592896
57,0.04203527309995109,0.039224672720259916,nan,nan,0.024056750759172373,0.00019084969109205862,0.021405499831524042,0.040832504679105784,0.03800944078370536,nan,nan,0.023739363017835115,0.0002326847691284983,0.021641401371820586,570.4917843341827
58,0.0417682979276582,0.03894465854430207,nan,nan,0.024203206563624197,0.00018934209039241033,0.02139707659429324,0.040093527371554,0.03727464596005647,nan,nan,0.023930599814967105,0.00020962404577355636,0.021621247612577128,570.8089344501495
59,0.04157572325277717,0.038734855845276056,nan,nan,0.024383592539455292,0.00018862466458308713,0.0213883396747668,0.03980815420417409,0.03696970965125059,nan,nan,0.024109288265830593,0.0002109667188242862,0.021650114537853943,568.6595878601074
60,0.04132151425636571,0.03846273025634715,nan,nan,0.024569449246177728,0.0001880454413603149,0.021380237091833856,0.03935633968610905,0.03650790492170736,nan,nan,0.02399555005525288,0.00023286750442103336,0.021603479944659693,568.6266281604767
61,0.04112209266131736,0.038244038099492804,nan,nan,0.024766771208066054,0.00018761264633041148,0.021374111609202752,0.039631563728969345,0.036779258253150864,nan,nan,0.024431730571546052,0.00019289239456779078,0.021624999555857165,572.5104653835297
62,0.040882778912653496,0.03798839666695953,nan,nan,0.024937723612157053,0.0001869977925918304,0.021359947812000752,0.03891900811638487,0.036028065828998625,nan,nan,0.02493175707365337,0.00018164358640971936,0.02160488835560452,568.8834731578827
63,0.040642622686488536,0.03772894175847199,nan,nan,0.025137458198113513,0.00018637283251784876,0.021355219078786288,0.038621314703241774,0.035723250469585,nan,nan,0.02486028169330798,0.00019618790400655647,0.02158983873423973,575.1253471374512
64,0.04046239187661946,0.037531850497844146,nan,nan,0.02531479135796366,0.00018560628041149673,0.02134661441255521,0.038325191794061346,0.0354110807499015,nan,nan,0.025220469424599094,0.00017629838303515784,0.021574555271256127,593.9944767951965
65,0.04021881126841316,0.03726596580094938,nan,nan,0.025537408836671615,0.0001857071370919766,0.021341474479756702,0.03803957531865882,0.03511499826747336,nan,nan,0.025237334401983964,0.00018502222864251388,0.021578752239675897,593.4945683479309
